term		index			df
一一		1		64
一丁点		2		7
一万		3		17
一万个		4		7
一万倍		5		6
一万年		6		7
一万遍		7		7
一下		8		571
一下下		9		7
一下子		10		75
一不小心		11		20
一世		12		41
一丝		13		20
一两		14		16
一两个		15		13
一个		16		710
一个个		17		88
一个劲		18		18
一个半		19		6
一个团		20		11
一个多		21		7
一个多月		22		9
一个打		23		7
一个排		24		5
一个月		25		61
一个样		26		41
一个班		27		5
一串		28		5
一举一动		29		5
一事		30		6
一二		31		31
一二三		32		7
一些		33		288
一人		34		74
一亿		35		5
一仆二主		36		7
一仗		37		5
一代		38		87
一代人		39		9
一件		40		86
一任		41		8
一份		42		34
一伙		43		18
一会		44		144
一会儿		45		46
一位		46		61
一体		47		5
一個		48		33
一停		49		6
一元		50		5
一共		51		47
一再		52		9
一出		53		34
一出场		54		42
一刀		55		39
一刀斩		56		7
一分		57		22
一分钟		58		80
一分钱		59		16
一切		60		207
一切都是		61		31
一到		62		38
一刹那		63		8
一刻		64		20
一剑		65		21
一剧		66		5
一副		67		147
一动		68		6
一包		69		13
一匹		70		11
一千		71		13
一千个		72		7
一千块		73		6
一千多		74		7
一千年		75		9
一半		76		146
一卡		77		18
一双		78		32
一发		79		22
一变		80		10
一口		81		88
一口气		82		33
一句		83		323
一只		84		118
一台		85		23
一叶		86		10
一号		87		26
一名		88		38
一向		89		14
一听		90		38
一吻		91		9
一员		92		10
一周		93		24
一味		94		30
一品		95		12
一哥		96		6
一哭		97		12
一嘴		98		5
一回		99		35
一团		100		6
一圈		101		22
一地		102		19
一场		103		78
一块		104		89
一块儿		105		5
一块钱		106		11
一坨		107		22
一堆		108		64
一塌糊涂		109		37
一声		110		63
一处		111		9
一夜		112		38
一大		113		77
一大堆		114		43
一天		115		200
一天到晚		116		32
一天天		117		7
一夫		118		5
一头		119		36
一套		120		86
一女		121		17
一如		122		7
一如既往		123		26
一姐		124		6
一季		125		63
一定		126		451
一家		127		139
一家亲		128		8
一家人		129		91
一家子		130		34
一寸		131		7
一对		132		204
一小		133		31
一层		134		18
一届		135		5
一岁		136		8
一己之私		137		8
一巴掌		138		44
一帆风顺		139		6
一帝		140		6
一带		141		20
一帮		142		84
一帮人		143		13
一幅		144		11
一幕		145		50
一年		146		139
一年级		147		10
一度		148		13
一座		149		11
一开		150		9
一张		151		79
一弹		152		5
一往情深		153		5
一律		154		8
一心		155		33
一心一意		156		5
一快		157		6
一念之间		158		6
一惊		159		6
一想		160		15
一战		161		11
一手		162		32
一打		163		11
一批		164		14
一把		165		121
